티커,종가,시가총액,거래량,거래대금,상장주식수,date
108490,31450,375274703350,4979756,159253435900,11932423,20230131
950220,3790,374556092350,264701,996194675,98827465,20230131
102940,32750,373754659000,16837,553556400,11412356,20230131
243840,47800,371082346200,142042,6718561450,7763229,20230131
035600,13210,368617573140,72827,958512200,27904434,20230131
104830,29200,368153600000,50143,1462965800,12608000,20230131
419530,42800,367691804000,1111674,49273259100,8590930,20230131
394280,17360,367348206960,15009138,260652736690,21160611,20230131
029960,7280,364000000000,109387,795252730,50000000,20230131
030520,14270,359658654100,289918,4151138190,25203830,20230131
009520,8610,358543672830,22042376,199319418340,41642703,20230131
050890,5850,358146594000,344780,2013998880,61221640,20230131
425040,33700,357998941800,387500,13089325900,10623114,20230131
067000,5190,355824417420,936485,4829984500,68559618,20230131
032620,6800,354940545200,10604806,73853690590,52197139,20230131
281740,5370,352973042760,517767,2758909250,65730548,20230131
243070,29350,350308363150,13848,407610250,11935549,20230131
039840,22000,349398610000,47210,1034040600,15881755,20230131
095610,17650,348909188900,49489,879681740,19768226,20230131
060720,14700,348058397400,135112,1998971210,23677442,20230131
082920,16120,347211130240,131153,2081808560,21539152,20230131
108230,9110,346391761950,279891,2536336690,38023245,20230131
143240,29650,346141897950,7655,227188600,11674263,20230131
228670,24600,344737192200,75317,1828522300,14013707,20230131
217820,7930,344594652870,187069,1477394330,43454559,20230131
035290,7390,343269667960,107391,790566750,46450564,20230131
278650,4835,341014131045,703143,3409110830,70530327,20230131
294570,33250,340968276250,56826,1871213800,10254685,20230131
033500,11430,340203114360,265513,3038591520,29764052,20230131
101160,20600,340126455800,56340,1164634000,16510993,20230131
140410,12710,339891048780,104155,1330617680,26742018,20230131
108860,14950,336528387000,3711675,55721629090,22510260,20230131
047920,11920,332224108000,120890,1431348330,27871150,20230131
102710,23100,330049011600,56188,1287770750,14287836,20230131
206560,12950,329063851200,250627,3252628710,25410336,20230131
204270,5680,328579286880,51722,289262590,57848466,20230131
038540,5910,326990329830,131515,778862500,55328313,20230131
053030,10280,326503573440,359686,3716718400,31761048,20230131
090360,33050,322237500000,6005537,201010865100,9750000,20230131
100120,32150,321559959750,9254,299904300,10001865,20230131
061970,7310,320065367520,109549,803096260,43784592,20230131
060280,8210,319427208900,516176,4191749820,38907090,20230131
256840,4710,318313518480,437607,2063607605,67582488,20230131
094480,8110,318153986180,1768096,13957179600,39229838,20230131
058820,2285,317368777540,448412,1019809145,138892244,20230131
078590,2380,316556560040,0,0,133006958,20230131
099320,34700,315270562900,60068,2087727600,9085607,20230131
048550,3295,315084770400,674752,2230133695,95625120,20230131
206650,8600,313425340200,205866,1766331990,36444807,20230131
340570,38550,313334400000,38980,1505238850,8128000,20230131
034950,68800,312387363200,617,42353600,4540514,20230131
307750,6350,311589858150,166210,1055823860,49069269,20230131
027360,2570,310514996920,262480,672813065,120822956,20230131
013120,3415,310109661500,105818,359692780,90808100,20230131
093320,63500,309880000000,19332,1208261100,4880000,20230131
080580,17510,309564507980,28112,487776900,17679298,20230131
237880,17090,308839422770,131177,2242059860,18071353,20230131
298870,3085,308500000000,986899,3048933615,100000000,20230131
136480,2900,308008135800,367234,1067858810,106209702,20230131
034810,11590,305469493820,97197,1134152100,26356298,20230131
041830,22050,301727393100,134914,2955991500,13683782,20230131
063080,45700,301400274400,54424,2425050000,6595192,20230131
078070,16080,300641778240,9055,144644790,18696628,20230131
347860,13920,299852557440,3073990,42555607600,21541132,20230131
037070,14900,298000000000,70138,1042289620,20000000,20230131
013030,21850,297449119200,69701,1517563600,13613232,20230131
382840,19460,293078750580,1323892,25643722040,15060573,20230131
304100,28650,292760884500,1666539,48066481950,10218530,20230131
226950,21350,292562466000,54486,1143076450,13703160,20230131
048530,8560,292330522720,143073,1231919100,34150762,20230131
036890,12970,291595015960,672205,8711994220,22482268,20230131
352480,29100,291405683100,97087,2839980050,10013941,20230131
265520,19060,291263884260,46285,884349880,15281421,20230131
126700,19470,290922920640,134261,2596337040,14942112,20230131
