티커,종가,시가총액,거래량,거래대금,상장주식수,date
005930,61000,364156735550000,29746731,1835768640685,5969782550,20230131
373220,521000,121914000000000,722845,374919075000,234000000,20230131
000660,88500,64428209302500,5185088,458628061505,728002365,20230131
207940,793000,56440982000000,94622,75346194000,71174000,20230131
051910,690000,48708716670000,310432,213998455000,70592343,20230131
006400,685000,47103703050000,438716,304175358216,68764530,20230131
005935,55000,45258768500000,1949266,108561335817,822886700,20230131
005380,167000,35682587229000,698589,117508559520,213668187,20230131
035420,202500,33219939712500,1076468,220320297500,164049085,20230131
035720,61400,27349014504600,2394547,148714880400,445423689,20230131
000270,66800,27078271579600,1938157,131136355450,405363347,20230131
005490,300500,25413654615000,507244,154022111500,84571230,20230131
105560,55900,22857346101200,1402754,79145485500,408897068,20230131
068270,161600,22754121936000,403867,65508406100,140805210,20230131
028260,118500,22146119098500,293819,34932447300,186887081,20230131
055550,41550,21140011306950,2588590,108855191850,508784869,20230131
012330,205500,19375586817000,316221,65270422250,94285094,20230131
003670,224000,17351761280000,3381198,773471674500,77463220,20230131
066570,100100,16381146181400,1140938,115280933300,163647814,20230131
096770,162100,14988667924400,370843,60583552100,92465564,20230131
034730,198100,14688982074900,166516,33119422800,74149329,20230131
086790,48750,14425294455000,2028531,100429679150,295903476,20230131
032830,70900,14180000000000,285949,20340895900,200000000,20230131
003550,82800,13024522220400,363526,30208903376,157300993,20230131
323410,27100,12919400262700,1755874,48343860700,476730637,20230131
015760,19840,12736567287680,1518690,30366460030,641964077,20230131
033780,92500,12699555972500,587144,54495885800,137292497,20230131
051900,743000,11604320371000,60623,45261245212,15618197,20230131
010130,541000,10745968478000,74805,40892630000,19863158,20230131
034020,16700,10659744151100,3626527,60341151540,638308033,20230131
009150,142700,10658790419200,436293,62693390800,74693696,20230131
011200,21750,10636609038000,2179607,47833499300,489039496,20230131
017670,46600,10197624510400,757930,35507905050,218833144,20230131
036570,454000,9967125988000,111844,51231518500,21954022,20230131
010950,88200,9929802254400,348290,31021583600,112582792,20230131
329180,110800,9836061252800,193978,21572548000,88773116,20230131
018260,125000,9672225000000,145991,18337474100,77377800,20230131
000810,203000,9617091911000,139174,28349532000,47374837,20230131
316140,12790,9311894421710,4524749,58724689910,728060549,20230131
030200,35050,9151968870400,792921,27824937300,261111808,20230131
003490,24250,8929351029250,1390336,33862474550,368220661,20230131
259960,179300,8828246097000,148715,26825074500,49237290,20230131
009830,45350,8674479838950,974406,44423038500,191278497,20230131
090430,145500,8510696434500,256570,37592207000,58492759,20230131
024110,10250,8173615157250,1101353,11376407070,797425869,20230131
377300,61000,8113172447000,1461215,90489393400,133002827,20230131
352820,191700,7927444287900,249181,47497712650,41353387,20230131
011070,271500,6425619550500,210710,57667711000,23667107,20230131
086280,165900,6221250000000,403386,67851849500,37500000,20230131
011170,176800,6059894079200,150947,26830865100,34275419,20230131
383220,151700,5811183277500,280642,42389432500,38307075,20230131
302440,75000,5758803450000,267901,20353205400,76784046,20230131
000060,51600,5732970012000,0,0,111104070,20230131
326030,72400,5669879300000,108694,7954753500,78313250,20230131
009540,79600,5633540033600,394492,31289105300,70773116,20230131
138040,42950,5479209754900,491127,21259377300,127571822,20230131
251270,61000,5243163622000,327415,19837733900,85953502,20230131
097950,345000,5193694170000,46875,16187097500,15054186,20230131
402340,36250,5128199448750,959658,35250501475,141467571,20230131
010140,5790,5095200000000,45725875,258040572350,880000000,20230131
028050,25850,5066600000000,2810868,71407024700,196000000,20230131
035250,23500,5027601750000,608537,14360802450,213940500,20230131
271560,124500,4922248434000,140518,17516700700,39536132,20230131
018880,9140,4878932000000,801371,7404375080,533800000,20230131
034220,13610,4869871677000,1637386,22441476210,357815700,20230131
032640,11110,4850752220710,1381610,15434703570,436611361,20230131
267250,61100,4826477493500,205247,12654467700,78993085,20230131
088980,11890,4813613553830,461300,5488938210,404845547,20230131
361610,67000,4776938664000,286698,19366228700,71297592,20230131
047810,48100,4688552646700,876339,42297251600,97475107,20230131
005830,65600,4644480000000,142886,9435643500,70800000,20230131
004020,34200,4563845847000,516022,17831895450,133445785,20230131
011780,147400,4320929588800,82670,12194264400,29314312,20230131
000720,38050,4237086858250,686983,26251474350,111355765,20230131
006800,6810,4190304738480,993035,6759637490,615316408,20230131
047050,23450,4125389378600,838355,19851316780,175922788,20230131
021240,55800,4118018740200,185345,10381100500,73799619,20230131
078930,44200,4106859707600,191925,8523864800,92915378,20230131
012450,80400,4070652000000,978439,77775126400,50630000,20230131
161390,32450,4019745989050,249170,8107400250,123875069,20230131
000100,52300,4008201761100,232763,12233231800,76638657,20230131
008560,6410,3942410111390,1582492,10248338070,615040579,20230131
011790,95200,3605061969600,190207,18176946600,37868298,20230131
029780,30350,3516317341850,164552,5014970122,115858891,20230131
241560,34750,3483658518500,248342,8729275250,100249166,20230131
071050,62500,3482874500000,280728,17558755700,55725992,20230131
004990,32350,3393813816950,67240,2182072700,104909237,20230131
002790,41050,3384908289000,511061,20684020550,82458180,20230131
282330,186700,3226905250200,70752,13147119700,17283906,20230131
028670,6030,3223454157360,3444666,20700396350,534569512,20230131
128940,256500,3222193527000,26226,6766607000,12562158,20230131
010620,80400,3211348779600,363537,29298582250,39942149,20230131
005387,85900,3134100240900,131819,11465958100,36485451,20230131
008770,79200,3108451183200,526219,41924355300,39248121,20230131
036460,33350,3078638550000,488127,16336606300,92313000,20230131
307950,112000,3071485984000,230631,25632538300,27423982,20230131
005940,9200,3051326473200,1012773,9356214590,331665921,20230131
007070,28850,3021112049700,207758,5961110550,104717922,20230131
064350,27600,3012327286800,3715462,101713159300,109142293,20230131
137310,28600,2985363895800,274480,7868998300,104383353,20230131
016360,33400,2982620000000,543924,18318614150,89300000,20230131
139480,104200,2904660339800,109465,11452738900,27875819,20230131
003410,5760,2902231267200,256105,1476334870,503859595,20230131
020150,62800,2895760438000,219586,13919008100,46110835,20230131
001450,30950,2766930000000,369701,11433122200,89400000,20230131
180640,40950,2733895546200,87083,3603710100,66761796,20230131
112610,64000,2698969792000,660955,42171572600,42171403,20230131
023530,94000,2659142970000,55270,5216783500,28288755,20230131
039490,98200,2574756176600,57097,5630946100,26219513,20230131
030000,21950,2525154888750,389134,8533078550,115041225,20230131
272210,13350,2522073843150,1791326,23680649590,188919389,20230131
052690,65700,2511054000000,746996,48856567200,38220000,20230131
042660,23050,2473049920450,921865,20995231300,107290669,20230131
001040,82400,2404184635200,53827,4459505900,29176998,20230131
014680,211000,2391726145000,41536,8712854500,11335195,20230131
017390,476000,2380000000000,12044,5671587000,5000000,20230131
088350,2740,2379772200000,1839634,5061997790,868530000,20230131
081660,38700,2351110991400,408206,15701371800,60752222,20230131
051915,305000,2345084000000,41904,12837119000,7688800,20230131
138930,7080,2307621541680,1750685,12422689850,325935246,20230131
006040,46150,2306699989750,57035,2609111650,49982665,20230131
004170,231500,2279159401500,72999,16911090188,9845181,20230131
006260,70500,2270100000000,120379,8469041600,32200000,20230131
012750,57600,2188752652800,128045,7406444300,37999178,20230131
336260,33200,2174391703200,340685,11322446750,65493726,20230131
010060,89800,2141673515800,222024,19980213200,23849371,20230131
000880,28300,2121332200500,162661,4600016900,74958735,20230131
008930,30100,2105703894000,71738,2156417950,69956940,20230131
002380,235500,2092763920500,25218,5907364500,8886471,20230131
005385,85900,2092239241500,70907,6115542500,24356685,20230131
204320,44500,2089591840000,216291,9613700050,46957120,20230131
004370,343000,2086346206000,22068,7535980000,6082642,20230131
026960,20900,2083730000000,158522,3313309850,99700000,20230131
000120,90200,2057673428800,43132,3894845100,22812344,20230131
000990,45200,2006816177600,467330,21037788050,44398588,20230131
175330,10140,1997406545160,1499826,14931407610,196982894,20230131
006360,23300,1994048717000,1423418,33139761700,85581490,20230131
001440,1601,1992401287409,5228186,8322996293,1244473009,20230131
047040,4785,1988754322830,6202506,29767155965,415622638,20230131
004690,489000,1982907225000,25934,12468689000,4055025,20230131
111770,43600,1931980004800,124811,5430877000,44311468,20230131
016710,119500,1922690350500,19130,2275341100,16089459,20230131
007310,476000,1907727080000,4507,2133129500,4007830,20230131
000080,26300,1844513969300,137235,3601769000,70133611,20230131
005070,59100,1811459679600,394364,23215131000,30650756,20230131
298020,414500,1793824189000,62699,25481219500,4327682,20230131
079550,80800,1777600000000,165301,13292107900,22000000,20230131
069620,152300,1764635372500,88556,13503766700,11586575,20230131
298050,383000,1715820084000,23178,8791529000,4479948,20230131
003620,8760,1637734770240,0,0,186956024,20230131
010120,53300,1599000000000,85389,4521189000,30000000,20230131
051600,34600,1557000000000,68448,2363826000,45000000,20230131
042670,7750,1532666435250,2097720,16104107960,197763411,20230131
001570,26400,1532520976800,2143629,56056992900,58050037,20230131
000150,92600,1530107121000,93296,8666861300,16523835,20230131
006280,128900,1506394748200,22389,2898163400,11686538,20230131
004800,70600,1487614365000,44496,3132043900,21071025,20230131
005300,159900,1483693551600,17366,2777526700,9278884,20230131
004000,57300,1478340000000,72516,4140337800,25800000,20230131
375500,38000,1470357674000,131591,5024079550,38693623,20230131
011210,53500,1454936940500,178157,9460356300,27195083,20230131
285130,83800,1445867015400,48402,4058643500,17253783,20230131
267260,40050,1443687756750,314654,12425883650,36047135,20230131
069960,61600,1441590365600,55957,3458442500,23402441,20230131
042700,14210,1383191481420,858088,12202134720,97339302,20230131
336370,39350,1381625523250,165865,6477700100,35111195,20230131
001120,35050,1358538000000,240408,8397550750,38760000,20230131
139130,7950,1344709372350,776486,6151956510,169145833,20230131
108320,80200,1304396860000,87680,6987927600,16264300,20230131
145720,117500,1300587525000,103115,11996379800,11068830,20230131
001230,13620,1299793877940,186793,2548827050,95432737,20230131
003090,22150,1287844857000,169367,3634351700,58141980,20230131
000210,61000,1278308924000,136091,8310412500,20955884,20230131
000240,13440,1275929625600,56552,757565660,94935240,20230131
014820,43750,1268368587500,59326,2592204150,28991282,20230131
114090,20400,1261855668000,249848,5072640900,61855670,20230131
089590,16300,1254997489300,333968,5433196720,76993711,20230131
120110,45550,1253494595050,82525,3743402950,27519091,20230131
009240,51800,1219057470400,38450,1995898000,23533928,20230131
017800,29800,1216292691800,65237,1939605200,40815191,20230131
271940,33150,1203782248500,89558,2928107850,36313190,20230131
093370,12680,1196384678720,638215,8052912050,94352104,20230131
005850,25650,1191404538000,249143,6401180550,46448520,20230131
267270,58900,1160376707700,255272,14856298600,19700793,20230131
000670,625000,1151275000000,2666,1672476000,1842040,20230131
020560,15300,1138499989200,304613,4643149760,74411764,20230131
007700,29000,1134316643000,156564,4528039800,39114367,20230131
280360,119900,1131205422600,9956,1191787700,9434574,20230131
018670,121900,1125166743600,6966,847073900,9230244,20230131
248070,22300,1115123787300,169590,3742136100,50005551,20230131
019170,20800,1102087792000,186745,3886840950,52984990,20230131
010780,34800,1075062688800,147928,5095908750,30892606,20230131
006650,164800,1071200000000,59525,9815254800,6500000,20230131
012510,35000,1063397440000,105064,3693059550,30382784,20230131
003690,7540,1061804960060,276135,2087125600,140822939,20230131
353200,21400,1057522195000,423423,9008095850,49416925,20230131
181710,29100,1048100461800,111596,3182765550,36017198,20230131
039130,64300,1031319595500,81599,5221625300,16039185,20230131
023590,22900,1027445529300,219397,5011006550,44866617,20230131
185750,81600,1025586662400,22545,1833052400,12568464,20230131
089860,27900,1022090357700,51782,1428886150,36634063,20230131
161890,44450,1017068451000,95880,4274930300,22881180,20230131
032350,13880,1012776546800,442788,6102859180,72966610,20230131
395400,5150,1012253506850,196195,1023639270,196554079,20230131
103140,36050,1010275221900,169115,6071302350,28024278,20230131
001740,4060,1007641846820,876451,3533765805,248187647,20230131
178920,34050,999923264100,105956,3585288650,29366322,20230131
330590,4080,991313046720,1483026,5809249355,242968884,20230131
001800,15600,977268583200,105523,1633385230,62645422,20230131
008730,39300,974640000000,112804,4378790450,24800000,20230131
003230,122900,925807543500,52891,6454411900,7533015,20230131
073240,3175,912051411225,1073377,3348779400,287260287,20230131
272450,17450,910890000000,405814,7086851130,52200000,20230131
079160,19070,910058063250,129262,2458301000,47721975,20230131
192080,49200,904025498400,37204,1824790500,18374502,20230131
004360,46550,898819519500,336083,15397050200,19308690,20230131
214320,44750,895000000000,48726,2163575200,20000000,20230131
009900,16950,889368754350,501427,8478793990,52470133,20230131
192820,78300,888666554700,91231,7115404200,11349509,20230131
348950,4485,885231360000,392058,1763516075,197376000,20230131
365550,4100,873664900000,248305,1020003465,213089000,20230131
031430,24450,872865000000,85356,2089392000,35700000,20230131
377740,8470,862890126560,548234,4689903890,101876048,20230131
009420,16400,856746463200,132307,2175443440,52240638,20230131
016380,8460,846075268620,573526,4781910840,100008897,20230131
009970,61200,834498230400,17094,1025277900,13635592,20230131
003240,742000,826142800000,748,555851000,1113400,20230131
300720,11910,824904941400,84811,1007890860,69261540,20230131
005420,23000,805189244000,1436509,33280559800,35008228,20230131
002840,165800,804130000000,3890,641873400,4850000,20230131
069260,19630,802446682440,55142,1078819010,40878588,20230131
005250,16900,794776749000,55264,931899990,47028210,20230131
066575,45650,784540534800,38321,1749184600,17185992,20230131
082640,4780,771294036300,73281,347963410,161358585,20230131
001680,21250,736270531250,103531,2192246900,34648025,20230131
005880,2290,730916383400,1458472,3313738760,319177460,20230131
010050,835,729959844010,1837675,1531304586,874203406,20230131
294870,11060,728935069800,197380,2190214180,65907330,20230131
013890,38300,723895890800,52856,2006309800,18900676,20230131
003530,3345,717662307375,2969831,9646365030,214547775,20230131
005440,7320,715196808240,431500,3129557730,97704482,20230131
268280,139600,711960000000,1415,197949000,5100000,20230131
249420,25950,695545245750,377892,9648642750,26803285,20230131
003540,13430,681886762000,71514,955778100,50773400,20230131
195870,39750,675750000000,100593,3983038350,17000000,20230131
003030,162800,674261759600,10152,1641630500,4141657,20230131
020000,27350,673630500000,38454,1048060450,24630000,20230131
383800,8820,672795685800,100031,878454400,76280690,20230131
057050,56000,672000000000,19192,1064169800,12000000,20230131
284740,29850,669754300500,28529,843103400,22437330,20230131
