date,equity,cash,invested_value,n_positions
2025-09-15,6785601.6,6785601.6,0.0,6
2025-09-16,6811337.2,6811337.2,0.0,4
2025-09-16,6812073.2,6812073.2,0.0,4
2025-09-16,6812073.2,6812073.2,0.0,4
2025-09-16,6812073.2,6812073.2,0.0,4
2025-09-17,10153198.8,10153198.8,0.0,7
2025-09-18,10230199.8,10230199.8,0.0,8
2025-09-19,10282810.8,10282810.8,0.0,14
2025-09-22,10365490.2,10365490.2,0.0,15
2025-09-23,10430878.8,10430878.8,0.0,22
2025-09-24,10379057.4,10379057.4,0.0,24
2025-09-25,8592432.5,8592432.5,0.0,25
2025-10-15,4231102.75,4231102.75,0.0,0
2025-10-15,4230877.75,4230877.75,0.0,0
2025-10-15,4231193.5,4231193.5,0.0,4
2025-10-15,4230401.5,4230401.5,0.0,5
2025-10-15,4239236.0,4239236.0,0.0,5
2025-10-16,5102194.8,5102194.8,0.0,6
2025-10-17,5102333.7,5102333.7,0.0,10
2025-10-21,5154781.8,5154781.8,0.0,0
