date,equity,cash,invested_value,n_positions
2025-09-04,3339188.8,3339188.8,0.0,0
2025-09-08,3345839.8,3345839.8,0.0,0
2025-09-09,3345517.8,3345517.8,0.0,0
2025-09-10,3350219.2,3350219.2,0.0,0
2025-09-11,3351322.2,3351322.2,0.0,0
2025-09-12,3375566.8,3375566.8,0.0,0
2025-09-15,3393980.8,12680.8,3381300.0,1
2025-09-16,3496545.0,0.0,3496545.0,1
2025-09-17,3400605.0,0.0,3400605.0,1
2025-09-18,3514095.0,0.0,3514095.0,1
2025-09-19,3480165.0,0.0,3480165.0,1
2025-09-22,3562065.0,0.0,3562065.0,1
2025-09-23,3619395.0,0.0,3619395.0,1
2025-09-24,3593070.0,0.0,3593070.0,1
2025-09-25,3588390.0,0.0,3588390.0,1
2025-09-26,3385395.0,0.0,3385395.0,1
2025-10-15,846055.3,846055.3,0.0,0
2025-10-15,847804.55,847804.55,0.0,0
2025-10-16,850334.55,850334.55,0.0,0
2025-10-17,850403.2,850403.2,0.0,0
